,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
61,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
62,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
63,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
64,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
65,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
66,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
67,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
68,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
69,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
70,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
71,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
72,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
73,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
74,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
75,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
76,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
77,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
78,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
79,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
80,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
81,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
82,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
83,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
84,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
85,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
86,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
87,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
88,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
89,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
90,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
91,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
92,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
93,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
94,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
95,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
96,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
97,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
98,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
99,0.9233333333333333,0.964774009231639,0.0,0.0,0.0,0.0,999.0766666666667,0.9647740092316388,0.0,0.0
